id_unidad,nivel
220,INICIAL EN FAMILIA COMUNITARIA
220,PRIMARIA COMUNITARIA VOCACIONAL
221,SECUNDARIA COMUNITARIA PRODUCTIVA
222,SECUNDARIA COMUNITARIA PRODUCTIVA
223,INICIAL EN FAMILIA COMUNITARIA
223,PRIMARIA COMUNITARIA VOCACIONAL
224,INICIAL EN FAMILIA COMUNITARIA
224,PRIMARIA COMUNITARIA VOCACIONAL
225,INICIAL EN FAMILIA COMUNITARIA
226,SECUNDARIA COMUNITARIA PRODUCTIVA
227,INICIAL EN FAMILIA COMUNITARIA
227,PRIMARIA COMUNITARIA VOCACIONAL
228,INICIAL EN FAMILIA COMUNITARIA
228,PRIMARIA COMUNITARIA VOCACIONAL
229,PRIMARIA COMUNITARIA VOCACIONAL
230,INICIAL EN FAMILIA COMUNITARIA
230,PRIMARIA COMUNITARIA VOCACIONAL
231,SECUNDARIA COMUNITARIA PRODUCTIVA
232,PRIMARIA COMUNITARIA VOCACIONAL
232,SECUNDARIA COMUNITARIA PRODUCTIVA
233,INICIAL EN FAMILIA COMUNITARIA
233,PRIMARIA COMUNITARIA VOCACIONAL
233,SECUNDARIA COMUNITARIA PRODUCTIVA
234,INICIAL EN FAMILIA COMUNITARIA
234,PRIMARIA COMUNITARIA VOCACIONAL
234,SECUNDARIA COMUNITARIA PRODUCTIVA
235,INICIAL EN FAMILIA COMUNITARIA
235,PRIMARIA COMUNITARIA VOCACIONAL
236,INICIAL EN FAMILIA COMUNITARIA
236,PRIMARIA COMUNITARIA VOCACIONAL
236,SECUNDARIA COMUNITARIA PRODUCTIVA
237,SECUNDARIA COMUNITARIA PRODUCTIVA
238,INICIAL EN FAMILIA COMUNITARIA
238,PRIMARIA COMUNITARIA VOCACIONAL
238,SECUNDARIA COMUNITARIA PRODUCTIVA
239,INICIAL EN FAMILIA COMUNITARIA
239,PRIMARIA COMUNITARIA VOCACIONAL
239,SECUNDARIA COMUNITARIA PRODUCTIVA
240,INICIAL EN FAMILIA COMUNITARIA
240,PRIMARIA COMUNITARIA VOCACIONAL
240,SECUNDARIA COMUNITARIA PRODUCTIVA
241,INICIAL EN FAMILIA COMUNITARIA
241,PRIMARIA COMUNITARIA VOCACIONAL
